Issue key,Issue id,Issue Type,Resolved,Custom field (Story Points)
SEP-11070,79466,Story,25.01.22 09:09,1.0
SEP-12004,95050,Bug,26.01.22 09:17,3.0
SEP-3883,37669,Story,26.01.22 09:18,1.0
SEP-12111,96145,Bug,28.01.22 09:07,1.0
SEP-11925,94380,Story,02.02.22 09:03,3.0
SEP-12182,96241,Task,02.02.22 09:21,1.0
SEP-11990,94887,Task,02.02.22 09:29,3.0
SEP-11899,93998,Task,03.02.22 09:22,3.0
SEP-11905,94318,Story,03.02.22 09:22,3.0
SEP-12221,96712,Bug,09.02.22 09:08,2.0
SEP-4963,42883,Story,10.02.22 14:18,0.0
SEP-12301,98595,Bug,11.02.22 09:04,1.0
SEP-12286,98324,Bug,11.02.22 09:04,1.0
SEP-12045,95418,Bug,11.02.22 09:24,3.0
SEP-12259,97492,Bug,15.02.22 09:15,1.0
SEP-12232,96984,Task,16.02.22 09:17,5.0
SEP-11452,88653,Bug,16.02.22 09:18,5.0
SEP-10527,74212,Story,16.02.22 09:18,3.0
SEP-12308,98655,Bug,16.02.22 09:19,0.5
SEP-10641,75283,Story,16.02.22 09:19,3.0
SEP-12187,96248,Story,17.02.22 09:20,3.0
SEP-12002,95041,Bug,17.02.22 09:20,0.5
SEP-11834,93162,Bug,17.02.22 09:20,0.5
SEP-11986,94880,Bug,18.02.22 09:03,1.0
SEP-12379,99207,Bug,18.02.22 09:03,
SEP-11674,91334,Story,18.02.22 09:17,5.0
SEP-7219,52231,Story,22.02.22 09:06,3.0
SEP-12363,99098,Bug,22.02.22 09:11,1.0
SEP-12272,97842,Bug,22.02.22 09:16,0.5
SEP-11676,91337,Story,22.02.22 09:18,5.0
SEP-11528,89696,Story,22.02.22 09:22,3.0
SEP-12385,99230,Bug,22.02.22 09:23,0.5
SEP-11982,94801,Bug,23.02.22 09:20,1.0
SEP-9432,64030,Story,23.02.22 09:23,3.0
SEP-9964,67723,Story,24.02.22 09:19,0.5
SEP-12452,99775,Bug,24.02.22 09:19,1.0
SEP-12423,99539,Story,28.02.22 09:02,1.0
SEP-12397,99404,Story,28.02.22 09:13,2.0
SEP-12122,96172,Story,01.03.22 09:09,3.0
SEP-12162,96212,Task,01.03.22 09:15,3.0
SEP-12394,99385,Story,01.03.22 09:15,1.0
SEP-12310,98659,Bug,01.03.22 09:16,2.0
SEP-12490,100089,Story,01.03.22 09:17,2.0
SEP-12337,98992,Task,02.03.22 09:08,3.0
SEP-12506,100287,Bug,02.03.22 09:17,0.5
SEP-12488,100080,Bug,02.03.22 09:17,1.0
SEP-12521,100515,Bug,02.03.22 09:17,1.0
SEP-12555,100828,Bug,04.03.22 09:11,1.0
SEP-11995,94920,Bug,04.03.22 09:11,1.0
SEP-12460,99849,Bug,04.03.22 09:11,2.0
SEP-9211,62372,Story,04.03.22 09:12,5.0
SEP-12512,100366,Bug,04.03.22 09:12,0.5
SEP-12577,100956,Bug,09.03.22 09:11,2.0
SEP-12596,101127,Bug,09.03.22 09:13,1.0
SEP-12594,101125,Bug,10.03.22 09:08,1.0
SEP-12600,101135,Story,10.03.22 09:12,0.5
SEP-8663,58268,Bug,11.03.22 09:14,0.5
SEP-12632,101434,Bug,11.03.22 09:14,2.0
SEP-9029,60466,Story,14.03.22 09:34,0.5
SEP-12285,98307,Bug,16.03.22 09:04,8.0
SEP-12652,101721,Bug,16.03.22 09:12,2.0
SEP-12518,100476,Task,16.03.22 09:25,5.0
SEP-12676,101970,Bug,17.03.22 09:05,0.5
SEP-12705,102382,Bug,18.03.22 09:16,1.0
SEP-12671,101916,Bug,21.03.22 09:17,3.0
SEP-12675,101971,Bug,22.03.22 09:19,1.0
SEP-395,13241,Story,28.03.22 09:11,5.0
SEP-12357,99069,Bug,28.03.22 09:17,5.0
SEP-12537,100630,Bug,28.03.22 09:17,0.5
SEP-12757,102845,Bug,28.03.22 09:18,1.0
SEP-12735,102601,Bug,29.03.22 09:24,1.0
SEP-12773,103014,Bug,29.03.22 09:25,1.0
SEP-12654,101723,Bug,29.03.22 10:20,2.0
SEP-12835,103456,Bug,30.03.22 09:09,1.0
SEP-12689,102268,Task,30.03.22 09:13,8.0
SEP-12726,102564,Bug,30.03.22 09:31,1.0
SEP-12662,101748,Bug,30.03.22 09:31,1.0
SEP-12817,103352,Bug,30.03.22 09:31,2.0
SEP-12669,101911,Story,30.03.22 09:31,1.0
SEP-12715,102487,Bug,31.03.22 09:22,1.0
